,en,fr
10,His scholarly training and rhetorical gifts supplemented each other in a rare fashion.,Sa formation universitaire et ses dons pour la rhétorique se complétaient l'un l'autre pour former un tout unique.
11,His scholarly training and rhetorical gifts supplemented each other in a rare fashion.,Sa formation académique et ses dons rhétoriques se complètaient de manière rare.
12,His scholarly training and rhetorical gifts supplemented each other in a rare fashion.,Son éducation scientifique et ses dons de rhétorique se complétent de manière rare.
13,His scholarly training and rhetorical gifts supplemented each other in a rare fashion.,Son éducation à l'école et sa parole avantageuse se complètent à la mode.
14,His scholarly training and rhetorical gifts supplemented each other in a rare fashion.,universitaire et Sa complétaient se rhétorique formation la ses former tout dons l'autre l'un unique. pour pour un
15,"Alas, there is no single or silver bullet.","Hélas, il n'existe aucune solution miracle."
16,"Alas, there is no single or silver bullet.","Hélas, il n'existe pas de solution unique ou miracle."
17,"Alas, there is no single or silver bullet.","Hélas, la solution miracle n'est pas existante."
18,"Alas, there is no single or silver bullet.","Malheureusement, il n'y a pas de balle argentée."
19,"Alas, there is no single or silver bullet.","n'existe Hélas, miracle. aucune solution il"
20,"Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.","Malheureusement cela s'est avéré un mauvais choix, puisque l'interprétation monétariste de la Grande Dépression, pour le dire crûment, a eu tort sur bien des aspects importants et s'est montrée radicalement incomplète."
21,"Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.","Malheureusement, cela s'est avéré être la mauvaise chose à faire, car l'interprétation monétariste de la Grande Dépression était, pour le dire franchement, erronée à bien des égards et radicalement incomplète."
22,"Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.","Malheureusement, cela s'est révélé être une mauvaise chose, car l'interprétation monétariste de la Grande Dépression était, pour le mettre sans détour, mauvaises dans des domaines importants et radicalement incomplète."
23,"Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.","Malheureusement, c'était mauvais car interpréter monétairement la Grande Dépression était pour dire les choses directement mal et franchement incomplet."
24,"Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.","pour montrée a puisque avéré bien Grande la s'est cela choix, aspects eu l'interprétation tort monétariste sur de crûment, dire s'est et Dépression, mauvais Malheureusement radicalement le incomplète. des importants un"
25,Could the French and the British feel as spiritually at home in Europe as they feel in their national states?,Les Français et les Anglais pourraient-ils se sentir aussi spirituellement chez eux en Europe qu'ils le sont dans leur état national ?
26,Could the French and the British feel as spiritually at home in Europe as they feel in their national states?,Les Français et les Britanniques pourraient-ils se sentir spirituellement chez eux en Europe comme ils se sentent chez eux dans leurs États nationaux ?
27,Could the French and the British feel as spiritually at home in Europe as they feel in their national states?,Les Français et les Anglais peuvent-ils se sentir aussi spirituellement chez eux en Europe que dans leurs États nationaux ?
28,Could the French and the British feel as spiritually at home in Europe as they feel in their national states?,Les Français et les Anglais peuvent-ils être comme spirituel à la maison en Europe plutôt que dans leur État national ?
29,Could the French and the British feel as spiritually at home in Europe as they feel in their national states?,qu'ils en sont Anglais le sentir Europe et les spirituellement chez pourraient-ils Français se Les état ? leur dans national eux aussi
30,"Last week, the United States Supreme Court ruled that detainees at Guantánamo Bay have the right to habeas corpus - the right to challenge the factual and legal basis of their detention in a court of law. I was elated by the decision, having spent four years working on ensuring the rule of law in US detention and interrogation policy, including monitoring military commission trials at Guantánamo Bay. But my happiness is tempered by where I sit, close to the border with Zimbabwe – a country where the writ of habeas corpus and the rule of law have become obsolete.","La semaine dernière, la Cour suprême des USA a décidé que les prisonniers de Guantanamo ont droit à l'habeas corpus - le droit de contester le fondement juridique et factuel de leur détention devant un tribunal. Ayant travaillé pendant 4 ans au respect de la loi dans les prisons et à la légalité des méthodes d'interrogatoire aux USA, ainsi qu'à la régularité des procès devant la commission militaire de Guantanamo, je ne peux qu'applaudir cette décision. Mais mon bonheur est mitigé de par l'endroit où je me situe, près de la frontière avec le Zimbabwe, où l'habeas corpus et l'État de droit sont tombées en désuétude."
31,"Last week, the United States Supreme Court ruled that detainees at Guantánamo Bay have the right to habeas corpus - the right to challenge the factual and legal basis of their detention in a court of law. I was elated by the decision, having spent four years working on ensuring the rule of law in US detention and interrogation policy, including monitoring military commission trials at Guantánamo Bay. But my happiness is tempered by where I sit, close to the border with Zimbabwe – a country where the writ of habeas corpus and the rule of law have become obsolete.","La semaine dernière, la Cour suprême des États-Unis a statué que les détenus de Guantánamo Bay avaient le droit à l'habeas corpus, c'est-à-dire le droit de contester la base factuelle et juridique de leur détention devant un tribunal. Cette décision m'a réjoui, car j'ai passé quatre ans à veiller au respect de l'État de droit dans la politique américaine en matière de détention et d'interrogatoire, notamment en suivant les procès de la commission militaire à Guantánamo Bay. Mais ma joie est tempérée par l'endroit où je me trouve, près de la frontière avec le Zimbabwe, un pays où l'habeas corpus et l'État de droit sont devenus obsolètes."
32,"Last week, the United States Supreme Court ruled that detainees at Guantánamo Bay have the right to habeas corpus - the right to challenge the factual and legal basis of their detention in a court of law. I was elated by the decision, having spent four years working on ensuring the rule of law in US detention and interrogation policy, including monitoring military commission trials at Guantánamo Bay. But my happiness is tempered by where I sit, close to the border with Zimbabwe – a country where the writ of habeas corpus and the rule of law have become obsolete.","La semaine dernière, la Cour suprême des États-Unis a prononcé que les détenus de Guantánamo Bay ont le droit d'habeas corpus - le droit de disputer le fondement factuel et juridique de leur détention devant un tribunal. J'ai été ravi de la décision, après avoir passé quatre ans à travailler pour assurer l'état de droit dans la politique américaine de détention et d'interrogatoire, y compris la surveillance des procès de la commission militaire à Guantánamo Bay. Mais mon bonheur est modéré par là où je suis assis, près de la frontière avec le Zimbabwe - un pays où le bref d'habeas corpus et la primauté du droit sont devenus périmés."
33,"Last week, the United States Supreme Court ruled that detainees at Guantánamo Bay have the right to habeas corpus - the right to challenge the factual and legal basis of their detention in a court of law. I was elated by the decision, having spent four years working on ensuring the rule of law in US detention and interrogation policy, including monitoring military commission trials at Guantánamo Bay. But my happiness is tempered by where I sit, close to the border with Zimbabwe – a country where the writ of habeas corpus and the rule of law have become obsolete.","La semaine passée, la Cour des suprême États-Unis a proféré : les prisonniers de Guantánamo Bay ont le droit d'habeas corpus - ils disputent la base de faits et juridique de s'ils sont détenus devant le tribunal. Je suis content, comme j'ai travaillé quatre ans dans l'assurance de l'état de droits dans la politique américaine de détention et d’interrogatoire, aussi la surveillance des procès de la commission militarisée à Guantánamo Bay. Mais je ne suis pas heureux là où je suis assis, à coté de la ligne séparatrice avec le Zimbabwe - un pays dans lequel l'habeas corpus et la règle de loi sont morts."
34,"Last week, the United States Supreme Court ruled that detainees at Guantánamo Bay have the right to habeas corpus - the right to challenge the factual and legal basis of their detention in a court of law. I was elated by the decision, having spent four years working on ensuring the rule of law in US detention and interrogation policy, including monitoring military commission trials at Guantánamo Bay. But my happiness is tempered by where I sit, close to the border with Zimbabwe – a country where the writ of habeas corpus and the rule of law have become obsolete.","la prisonniers peux de désuétude. La les méthodes USA frontière en cette près procès droit de je où l'endroit ainsi respect Guantanamo, Mais à loi pendant la juridique les je leur avec des la d'interrogatoire a et l'habeas ont Guantanamo corpus contester au ne situe, 4 militaire et suprême droit devant régularité et semaine la tribunal. de décision. Cour la des le devant fondement me détention de droit dernière, de où légalité tombées commission dans aux est à mon un travaillé par ans factuel le - sont décidé la qu'applaudir de corpus des de de le l'habeas mitigé qu'à Ayant bonheur prisons que USA, Zimbabwe, l'État"
35,"China's leaders, however, tend to suspect that the US is deliberately trying to undermine their country's political stability by questioning its record on human rights and political freedoms.",Cependant les dirigeants de la Chine ont tendance à suspecter que les États-Unis tentent délibérément de porter atteinte à la stabilité politique de leur pays en remettant en cause son bilan en matière de droits et de libertés politiques.
36,"China's leaders, however, tend to suspect that the US is deliberately trying to undermine their country's political stability by questioning its record on human rights and political freedoms.",Les dirigeants chinois ont toutefois tendance à soupçonner les États-Unis d'essayer délibérément de saper la stabilité politique de leur pays en remettant en question son bilan en matière de droits de l'homme et de libertés politiques.
37,"China's leaders, however, tend to suspect that the US is deliberately trying to undermine their country's political stability by questioning its record on human rights and political freedoms.",Les dirigeants chinois ont tout de même la tendance de penser que les États-Unis veulent essayer délibérément de compromettre la politique stabilité de leur pays en remettant en question ses dossiers sur les droits humain et de libertés politiques.
38,"China's leaders, however, tend to suspect that the US is deliberately trying to undermine their country's political stability by questioning its record on human rights and political freedoms.",Les dirigeants de chine ont pensé que les États-Unis veulent essayer délibérément de sous miner la stable politique du pays et se pose des questions sur ses dossiers sur les droits humain et de libertés politiques.
39,"China's leaders, however, tend to suspect that the US is deliberately trying to undermine their country's political stability by questioning its record on human rights and political freedoms.",à la Chine que cause de les stabilité politiques. dirigeants de États-Unis délibérément matière leur ont les politique tendance remettant tentent en bilan en pays son en droits atteinte de libertés de à de et Cependant la suspecter porter
40,"But, when it comes to standards - such as those governing safety, health, and the environment - the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.","Mais quand il s'agit des normes - de celles qui touchent à la sécurité, à la santé et à l'environnement - les conditions d'accès au marché sont brutales et binaires : ou bien vous répondez aux normes en vigueur, ou bien vous ne vous vendez pas."
41,"But, when it comes to standards - such as those governing safety, health, and the environment - the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.","Mais quand il s'agit des normes - telles que ceux qui touchent à la sécurité, à la santé et à l'environnement - les conditions d'accès au marché sont brutales et binaires : tu te confortes au standard ou tu ne vends pas."
42,"But, when it comes to standards - such as those governing safety, health, and the environment - the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.","Mais lorsqu'il est question des standards - comme celles en rapport avec la sécurité, à la santé et à l'environnement - les conditions d'accès au marché sont brutales et binaires - où vous répondez aux normes en vigueur où tu ne vends pas."
43,"But, when it comes to standards - such as those governing safety, health, and the environment - the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.","Quand il s'agit des classiques - comme ceux gouvernant la sécurité, santé et l'environnement - la nécessité d'accès au marché est brutale et binaire : vous rencontrez le standard établi où tu ne vends pas."
44,"But, when it comes to standards - such as those governing safety, health, and the environment - the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.","au vigueur, ou en et marché d'accès sécurité, - santé pas. bien aux il les qui s'agit normes brutales vendez quand normes Mais touchent - la : conditions bien à l'environnement binaires de vous celles à des la sont ne répondez à et vous ou vous"
45,"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security - and thus to the fight against nuclear proliferation.","Mais si elles décidaient de renoncer à l'énergie nucléaire, leur revirement serait une contribution marquante à la sécurité nucléaire mondiale - et donc à la lutte contre la prolifération nucléaire."
46,"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security - and thus to the fight against nuclear proliferation.","Seraient-ils prêts à abandonner l'énergie nucléaire, leur changement d'avis constituerai une contribution majeure pour la sécurité nucléaire globale - et donc pour le combat contre la prolifération nucléaire."
47,"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security - and thus to the fight against nuclear proliferation.","Seraient-elles a abandonnaient l'énergie nucléaire, leur changement de coeur constiturait une grande contribution pour la sécurité nucléaire mondiale - et donc contre le combat de prolifération nucléaire."
48,"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security - and thus to the fight against nuclear proliferation.","Sont-ils à abandonner l'énergie nucléaire, cependant, leur changement d'époque de coeur constituerait une contribution séminale à la sécurité nucléaire globale - et ainsi pour le combat contre la foisonnement nucléaire."
49,"Were they to abandon nuclear energy, however, their epochal change of heart would constitute a seminal contribution to global nuclear security - and thus to the fight against nuclear proliferation.","prolifération sécurité renoncer la leur nucléaire l'énergie contre contribution mondiale Mais à - décidaient la la et une nucléaire, à de elles revirement si donc marquante serait à nucléaire. lutte"
50,"Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.","Deuxièmement, la production pharmaceutique est axée sur une maximisation des profits, plutôt que sur les bienfaits sociaux, ce qui entrave les efforts en faveur de la création de médicaments essentiels au bien être humain."
51,"Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.","Deuxièmement, le développement de médicaments vise à maximiser le profit et non le bénéfice social, ce qui dévie les efforts visant à créer des médicaments essentiels au bien-être humain."
52,"Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.","Deuxièmement, le développement des médicaments est orienté vers maximiser les profits, pas le bénéfice social, ce qui dévie les efforts dirigés à la création des médicaments qui sont essentials au bien être des êtres humains."
53,"Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.","Deuxième, le développement des drogues et diriger vers maximiser le profit, pas le bénéfice sociaux, ce qui dévie les efforts dirigés vers créer vers créer des médecins qui sont essentiels aux humains."
54,"Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.","est en une entrave production bien être création essentiels qui de la de Deuxièmement, les plutôt humain. médicaments bienfaits maximisation pharmaceutique sociaux, ce la faveur les axée profits, des efforts que au sur sur"
55,This makes sense.,C'est logique.
56,This makes sense.,C'est sensé.
57,This makes sense.,Ça fait du sens.
58,This makes sense.,Ceci fait sensation.
59,This makes sense.,logique. C'est
60,"Governments must not be given the power to control its citizens' moral code - we know that if they had such power, they would misuse it.","Les gouvernements ne doivent pas détenir le pouvoir de contrôler le code moral de leurs citoyens - nous savons bien que s'ils avaient ce pouvoir, ils en abuseraient."
61,"Governments must not be given the power to control its citizens' moral code - we know that if they had such power, they would misuse it.","Les gouvernements ne doivent pas se voir donner le pouvoir de contrôler le code moral de leurs citoyens - nous savons que s'ils disposaient d'un tel pouvoir, ils en feraient un mauvais usage."
62,"Governments must not be given the power to control its citizens' moral code - we know that if they had such power, they would misuse it.","Les gouvernements ne doivent pas obtenir le pouvoir de controler le code moral de ses citoyens - on sait que s'ils le pouvaient, ils le maltraiteraient."
63,"Governments must not be given the power to control its citizens' moral code - we know that if they had such power, they would misuse it.",Les gouvernements ne devraient pas être donnés pour le pouvoir de controler ces citoyens - on sait que si ils pouvaient ils le feraient mal.
64,"Governments must not be given the power to control its citizens' moral code - we know that if they had such power, they would misuse it.","en le doivent de que leurs nous s'ils moral Les de - contrôler le abuseraient. ce détenir pouvoir ne code pas bien pouvoir, citoyens avaient ils savons gouvernements"
65,"To an economist, the problem is obvious: polluters are not paying the full costs of the damage they cause.","Pour un économiste, le problème paraît évident : les pollueurs ne payent pas l'ensemble des dommages dont ils sont coupables."
66,"To an economist, the problem is obvious: polluters are not paying the full costs of the damage they cause.","Pour un économiste, le problème est évident : les pollueurs ne payent pas les frais complets des dommages qu'ils causent."
67,"To an economist, the problem is obvious: polluters are not paying the full costs of the damage they cause.","Pour l'économiste, le problème est clair : les pollueurs ne payent pas les dommages qu'ils ont faits."
68,"To an economist, the problem is obvious: polluters are not paying the full costs of the damage they cause.","Pour l'économie, le problème est clair : la pollution n'est pas payée par les pollueurs qui la font."
69,"To an economist, the problem is obvious: polluters are not paying the full costs of the damage they cause.","sont un coupables. les pollueurs l'ensemble pas problème économiste, paraît évident dommages Pour le dont des payent ils ne :"
70,"Indeed, broader access to financial services would help the estimated 400 million micro, small, and medium-size enterprises in developing countries to prosper, while enabling the 2.5 billion people worldwide who currently lack access to such services to build their assets.","Un accès plus étendu aux services financiers aiderait en effet un nombre estimé de 400 millions de microentreprises et de PME à prospérer dans les pays en développement, tout en permettant à 2,5 milliards de personnes qui n'ont pas actuellement accès à de tels services de se bâtir un avoir."
71,"Indeed, broader access to financial services would help the estimated 400 million micro, small, and medium-size enterprises in developing countries to prosper, while enabling the 2.5 billion people worldwide who currently lack access to such services to build their assets.","En effet, un accès plus large aux services financiers aiderait une estimation de 400 millions de micro, petites et moyennes entreprises des pays en développement à prospérer, tout en permettant aux 2,5 milliards de personnes dans le monde qui actuellement manquent d'accès à ces services de constituer leurs actifs."
72,"Indeed, broader access to financial services would help the estimated 400 million micro, small, and medium-size enterprises in developing countries to prosper, while enabling the 2.5 billion people worldwide who currently lack access to such services to build their assets.","En effet, un accès plus large aux services de financement aideraient l'estimé 400 micro millions de petites et moyenne entreprises pour développer des pays et prospérer, pendant qu'activer les 2.5 milliards de personnes dans le monde qui en ce moment manquent d'accès aux services pour construire leurs atouts."
73,"Indeed, broader access to financial services would help the estimated 400 million micro, small, and medium-size enterprises in developing countries to prosper, while enabling the 2.5 billion people worldwide who currently lack access to such services to build their assets.","Et oui, accéder large aux services de finance peut aider l'estimé 400 micro millions de petites, moyenne tailles entreprises pour développer des pays pour prospérer, pendant qu'activer les 2.5 milliards de personnes mondiales qui maintenant manquent d'un accès à des services pour construire leurs atouts."
74,"Indeed, broader access to financial services would help the estimated 400 million micro, small, and medium-size enterprises in developing countries to prosper, while enabling the 2.5 billion people worldwide who currently lack access to such services to build their assets.","accès à millions pays de développement, étendu à à un de 400 accès se en financiers en plus actuellement aiderait de bâtir de permettant services 2,5 avoir. n'ont services les Un tels dans de et tout effet milliards aux un personnes pas microentreprises en PME prospérer de nombre qui estimé"
75,"PRINCETON - What we are doing to our planet, to our children and grandchildren, and to the poor, by our heedless production of greenhouse gases, is one of the great moral wrongs of our age.","PRINCETON - Ce que nous infligeons à notre planète, à nos enfants et à nos petits enfants, et aux plus démunis, par notre insouciante production de gaz à effet de serre, est une des offenses majeures de notre ère."
76,"PRINCETON - What we are doing to our planet, to our children and grandchildren, and to the poor, by our heedless production of greenhouse gases, is one of the great moral wrongs of our age.","PRINCETON - Ce que nous faisons à notre planète, à nos enfants et petits-enfants, et aux pauvres, par notre production inconsidérée de gaz à effet de serre, est l'un des plus grandes fautes morales de notre époque."
77,"PRINCETON - What we are doing to our planet, to our children and grandchildren, and to the poor, by our heedless production of greenhouse gases, is one of the great moral wrongs of our age.","PRINCETON - Ce que nous faisons à notre terre, à nos enfants et petits enfants, et aux pauvres, par notre production sans tête de gaz de maison verte, est l'une des grandes fautes morales de notre âge."
78,"PRINCETON - What we are doing to our planet, to our children and grandchildren, and to the poor, by our heedless production of greenhouse gases, is one of the great moral wrongs of our age.","PRINCETON - Ce qu'on fait à la planète, à nos enfants et petits enfants, et à les pauvres, à cause de notre production sans tête de gaz de maison verte, est l'un des super faux moraux de notre âge."
79,"PRINCETON - What we are doing to our planet, to our children and grandchildren, and to the poor, by our heedless production of greenhouse gases, is one of the great moral wrongs of our age.","de production des insouciante à à nous infligeons nos et à notre nos serre, PRINCETON majeures notre de de notre effet plus enfants, petits par une gaz démunis, aux - que offenses est à et ère. enfants planète, Ce"
80,"If firewalls are strong, or redundancy and resilience allow quick recovery, or the prospect of a self-enforcing response (“an electric fence”) seems possible, an attack becomes less attractive.","Si les pare-feux sont solides, ou si la redondance et la résilience permettent un rétablissement prompt, ou si la perspective d'une réplique automatique par l'entité visée (""une barrière électrique"") paraît possible, alors une attaque devient moins intéressante."
81,"If firewalls are strong, or redundancy and resilience allow quick recovery, or the prospect of a self-enforcing response (“an electric fence”) seems possible, an attack becomes less attractive.","Si les pare-feux sont puissants, si la redondance et la résilience permettent une récupération rapide, ou si la perspective d'une réponse auto-exécutoire (""une clôture électrique"") semble possible, une attaque devient moins attrayante."
82,"If firewalls are strong, or redundancy and resilience allow quick recovery, or the prospect of a self-enforcing response (“an electric fence”) seems possible, an attack becomes less attractive.","Si les pare-feux sont forts, ou si la redondance et l'élasticité permettent un rétablissement rapide, ou si l'éventuelle réponse auto-applicable (""une clôture électrique"") semble possible, une attaque se fait moins attrayante."
83,"If firewalls are strong, or redundancy and resilience allow quick recovery, or the prospect of a self-enforcing response (“an electric fence”) seems possible, an attack becomes less attractive.","Si les murs de feu sont forts, ou si être redondant et élastique permettent un rétablissement vif, ou si le prospectus de réponse auto-imposée (""une clôture électrique"") a l'air possible, l'attaque est moins belle."
84,"If firewalls are strong, or redundancy and resilience allow quick recovery, or the prospect of a self-enforcing response (“an electric fence”) seems possible, an attack becomes less attractive.","Si résilience devient prompt, alors redondance rétablissement les d'une la une visée et la automatique (""une un ou l'entité électrique"") réplique paraît permettent intéressante. la par barrière sont ou si possible, moins perspective solides, pare-feux attaque si"
85,"THE HAGUE - The war in Afghanistan, now approaching its tenth year, may seem to many to have no end in sight, but Latin America has endured an even longer fight, one that has recently become much more bloody: the “war” against drug trafficking.","LA HAYE - La guerre en Afghanistan, un conflit que beaucoup considèrent sans fin, aura bientôt dix ans. Pourtant, l'Amérique latine est aussi en proie à d'interminables affrontements. Il s'agit de la ""guerre"" contre le trafic de drogue, dont les effusions de sang se sont récemment accrues."
86,"THE HAGUE - The war in Afghanistan, now approaching its tenth year, may seem to many to have no end in sight, but Latin America has endured an even longer fight, one that has recently become much more bloody: the “war” against drug trafficking.","LA HAYE - La guerre en Afghanistan, approchant maintenant ses dix ans, semble pour beaucoup ne pas avoir de fin en vue, mais l'Amérique latine a enduré un combat encore plus long, un qui est récemment devenu bien plus sanglant: la ""guerre"" contre le traffic de drogue."
87,"THE HAGUE - The war in Afghanistan, now approaching its tenth year, may seem to many to have no end in sight, but Latin America has endured an even longer fight, one that has recently become much more bloody: the “war” against drug trafficking.","LA HAYE - La guerre en Afghanistan, qui se rapproche maintenant de sa dixième année, semble pour plein de gens ne pas avoir de fin, mais l'Amérique latine a supporté un combat encore plus long, un qui est récemment devenu bien plus ensanglanté: la ""guerre"" contre le traffic de drogue."
